time,sinkhorn_div
0,10.987560173972208
1,7.812321042872233
2,7.101749161721066
3,7.082485312767433
4,6.741114101076355
5,6.023711399921233
6,4.667913792498137
7,4.350034489988202
8,3.4483807454107827
9,3.1098327299807416
10,3.4068254457213896
11,3.3486953244475024
12,3.213406321407612
13,3.7411080796598606
14,3.0605848902792205
15,3.4298600346782244
16,3.1399268138155967
17,2.820975017135431
18,2.635374729792836
19,2.425320641467479
20,2.5348648820791118
21,2.538578304192832
22,2.578970753054614
23,2.8626734985011817
24,2.8755381536604134
25,2.6424269086677437
26,2.603240334107011
27,2.4998459768532744
28,2.3632689420521444
29,2.3308861251633473
30,2.4174863367966806
31,2.4204669427818786
32,2.5652407433930486
33,2.5195793206412316
34,2.447010462337525
35,2.480677318064537
36,2.7023489835963614
37,2.468949128823884
38,2.4800967440655044
39,2.966789481660472
40,2.612022199241391
41,2.4287178091604638
42,2.386637834591461
43,2.3354956167478433
44,2.331866234543316
45,2.4970161751378677
46,2.39547486871584
47,2.3240632333737667
48,2.309058231417445
49,2.537463344816599
50,2.4272226667453487
51,2.5510449119870184
52,2.543595900308251
53,2.8176142499991186
54,3.0920009099902237
55,2.6934439111268818
56,2.9460974337955124
57,2.725112835709045
58,2.839589691341575
59,2.641158823081538
60,2.5369982030649405
61,2.707194093592493
62,2.605979674885813
63,3.249996918896902
64,2.7657024135638792
65,2.9493932002937426
66,2.580897095134525
67,2.511828003401239
68,2.5554666526736844
69,2.6132470372445153
70,2.5401791039345865
71,2.6216120882490723
72,2.2914471492245263
73,2.246192359418274
74,2.377904521331153
75,2.6999092157430766
76,2.508553368769994
77,2.5740240599390325
78,2.478800150815532
79,2.7355438350065215
80,2.9702844769933363
81,3.054064440783703
82,2.5914706590460903
83,2.576309397094632
84,2.644008297397908
85,2.6161269131360516
86,2.4352803027044914
87,2.3632710606378997
88,2.5872978020875395
89,2.5622665485015546
90,2.4543695876506506
91,2.4992378980613186
92,2.4594755159459503
93,2.6089231362532868
94,2.690209996276529
95,2.548913526017792
96,2.494560045123305
97,2.5344881608678596
98,2.529484168228399
99,2.376594209177329
100,2.2917526113404327
101,2.3322307047700526
102,2.239926357761746
103,2.474928259532293
104,2.400747770801587
105,2.579151018759774
106,2.4472903701736795
107,2.4949649652379677
108,2.3909391309009393
109,2.3854664515557125
110,2.423685197204898
111,2.4749969443870716
112,2.5704726891037897
113,2.6101073191125987
114,2.4768548546202123
115,2.4723591558225593
116,2.2609665959086924
117,2.4761259735180996
118,2.5202301711975057
119,2.5437806411134902
120,2.4398750080863216
121,2.4161622628170547
122,2.736170675034937
123,3.0010197813557276
124,2.5969578772218185
125,2.4750818104179344
126,2.769873679961217
127,2.6618527731647066
128,2.884720168533619
129,2.5864995708601644
130,2.814158819351649
131,2.8101761436235484
132,2.8214677045705434
133,2.75370660152861
134,2.7072716808474278
135,2.9597753493657892
136,3.0403420860661674
137,2.9196164791170496
138,2.768197969468395
139,2.6538952431662484
140,2.8242326791506867
141,2.616805319139654
142,2.5195118511547294
143,2.513006138470367
144,2.4465281234549914
145,2.52987350901555
146,2.4828169633598374
147,2.4043648010624623
148,2.4389689982916316
149,2.419665306843811
150,2.5238224834219083
151,2.6792424224379023
152,2.5829459689548364
153,2.835734546639785
154,2.446035552451894
155,2.578743877690232
156,2.7871204100659694
157,2.4577570633114005
158,2.458471024962184
159,2.572277210994456
160,2.765017167877926
161,2.5764917922626736
162,2.5625416822067257
