time,sinkhorn_div
0,5.496234124728768
1,3.5876886085615003
2,3.5252886390199767
3,3.418435375513912
4,3.5493521085720703
5,3.0681329421443566
6,2.9603361057502893
7,2.941190308930996
8,2.8758928322382826
9,2.7519266142153676
10,3.646465413841637
11,2.8433624674238747
12,2.825453956386808
13,2.6634132287650454
14,2.709322753543297
15,2.8612601314446966
16,2.4348901323601932
17,2.9723172890580667
18,2.762232796014605
19,2.7943908058902034
20,2.5840066114465086
21,2.3697594497223426
22,2.269473470717283
23,2.326559679837948
24,2.286785985689991
25,2.2274043047864485
26,2.2614309493459372
27,2.2212766847741063
28,2.138833848924896
29,2.1785959224530043
30,2.264992250677667
31,2.2163010097255404
32,2.573237276886918
33,2.423086835330908
34,2.3657852904666514
35,2.4261945043837287
36,2.4060132789594184
37,2.3969438605134
38,2.2326060942486956
39,2.329225216188218
40,2.211162542206117
41,2.2287732308931956
42,2.1903104983524857
43,2.109744004363215
44,2.1800413220540196
45,2.675116819879087
46,2.8794357247694577
47,2.699994429829821
48,3.265236571359472
49,3.2334130372386336
50,3.768243662664146
51,3.056241081864465
52,2.984272101261082
53,2.8078158897078
54,2.7441811120789956
55,2.690291795468139
56,2.351907698429071
57,2.2662435805266115
58,2.589555957390672
59,2.672291148832937
60,2.687560236056193
61,2.582444612365159
62,2.5291402053915144
63,2.4485342234267904
64,3.0507212302034517
65,2.5910885496213285
66,2.472175153600931
67,2.2357795408955377
68,2.2928323266486363
69,2.4413582026522094
70,2.3239427931633765
71,2.6908920527722495
72,2.50929268859934
73,2.46416520876471
74,2.5449007960022567
75,2.69110389195923
76,2.7112063403767106
77,2.6182436505876936
78,2.4918165738059246
79,2.494038913597593
80,2.4963033047917396
81,2.6000230604762997
82,2.5961548101526626
83,2.4359084582111596
84,2.530527647580816
85,2.77234561541923
86,2.2777796437739144
87,2.264632435125653
88,2.7423949421291827
89,2.208861653690711
90,2.1910203128083765
91,2.230856305606035
92,2.443448364686406
93,2.3619356722684217
94,2.8213968068243855
95,2.5316970807128545
96,2.253011277882963
97,2.6278241723579714
98,2.761774777460544
99,2.58266525448846
100,2.812145125994703
101,2.8636113037730313
102,2.9585334459418973
103,2.8311429439287448
104,2.7036013321339474
105,2.796739202005075
106,2.6690129349339022
107,2.416412592280464
108,2.577506528711052
109,2.693815130521762
110,2.596959805165412
111,2.60184548245102
112,2.545988993612683
113,2.6721582987544537
114,2.6674501241724293
115,2.811881951134631
116,2.408090556314461
117,2.7106290526356482
118,2.4112818236596842
119,2.396424383704344
120,2.4307138906101993
121,2.30289599083645
122,2.438341631228794
123,2.6590092408592443
124,2.486734769040308
125,2.3204741245069087
126,2.253182174232328
127,2.309597358787197
128,2.5220349077959563
129,2.406266844058841
130,2.623255649646
131,2.5440931983766566
132,2.391877887007399
133,2.3397564242821267
134,2.6138362551759187
135,3.1018622803605003
136,2.468629182201144
137,2.2873084733339004
138,2.4196052990754935
139,2.5843297103363754
140,2.781407898267604
141,2.5730720709897197
142,2.409140893865816
143,2.474182718374164
144,2.5053801817981
145,2.9637762869606723
146,3.16272667837647
147,2.682854829697545
148,2.7559590365572637
149,2.569138000589022
150,2.2420882890929263
151,2.293728392288754
152,2.262560541175447
153,2.626728034036817
154,2.3590590916016616
155,2.340568315662502
156,2.3500361257170694
157,2.375417873362411
158,2.2431205908050953
159,2.224900009823124
160,2.058414458659423
161,2.3120034174382385
162,2.4267179244080994
163,2.2405177687945113
164,2.6718177120023427
165,2.536531096138675
166,2.943424824048377
167,2.5468333422290512
168,2.6736997207115842
169,2.3730254749227973
170,2.347166394304002
171,2.3273804773440077
172,2.625016167000531
173,2.472068005536867
174,2.5428585843132674
175,2.6998889052529567
176,2.8216165924886614
177,2.4505366379933906
178,2.3732931127069032
179,2.3207261458550374
180,2.3908847842215484
181,2.390642153609823
182,2.370088618750358
183,2.5779099808240353
184,2.3350203636964184
185,2.432182184297119
186,2.5620987740861647
