time,sinkhorn_div
0,9.449022143598503
1,8.28229697464837
2,7.28904522958163
3,7.07250160344019
4,6.324197939955725
5,6.155196201348874
6,5.5162787117590115
7,5.002612385171325
8,5.067242884914036
9,5.079924185479997
10,4.234072516078478
11,3.402785613035839
12,3.849897353550291
13,2.8413570522509954
14,2.8977318082015775
15,2.6385204347965296
16,2.1498000384648104
17,2.2196914394837255
18,2.1633723842150765
19,2.4118436721068055
20,2.5960354215559436
21,2.7291738689609066
22,2.4239183235445636
23,2.3942765416250227
24,2.439711032547249
25,2.370797303724357
26,2.29608140587125
27,2.213659868263329
28,2.1214452069480285
29,2.2057901049006094
30,2.23400310275717
31,2.18928531272456
32,2.233832980484102
33,2.34208884817154
34,2.1818363440003314
35,2.192847446066965
36,2.2828622633714435
37,2.353023544089975
38,2.3867718929486594
39,2.642587778732136
40,2.6587516224384964
41,2.3077196767602315
42,2.2206147645198535
43,2.213603430989553
44,2.24413680033943
45,2.408572178736927
46,2.4462870158112695
47,2.1793233368999174
48,2.2528204724015586
49,2.1303591748642345
50,2.282483329252468
51,2.418782776603109
52,2.147691742904527
53,2.2438916897465706
54,2.402808763111913
55,2.6720610436701953
56,2.5896196685557893
57,2.5958082007043104
58,2.226045782799159
59,2.533083122428685
60,2.226876755338197
61,2.400002034504346
62,2.452390718815404
63,2.6448005302514055
64,2.358153980925314
65,2.2804846328856585
66,2.312325651452554
67,2.1426852815828705
68,2.192021846154215
69,2.403378842046846
70,2.8110478360975315
71,2.638721299008585
72,2.3244655446046516
73,2.375093659009809
74,2.32272470362463
75,2.288005702084992
76,2.27411518286997
77,2.160256905995753
78,2.1925327717018446
79,2.843879445242408
80,3.1323537133865647
81,2.7272018950829784
82,3.0438068298423637
83,3.3871536415646903
84,3.510180924798164
85,3.3837966720693657
86,2.749872724882328
87,2.4370638139186203
88,2.8690189675960287
89,2.8219089375057282
90,2.4499938809065407
91,2.3694513656477363
92,2.4861999143040565
93,2.4182390052737133
94,2.3961448024687892
95,2.1819280231887728
96,2.256514971699697
97,2.410022799910334
98,2.4836022476766093
99,2.322220964700134
100,2.3742851386119557
101,2.232554621183133
102,2.3367456167418097
103,2.317744622678653
104,2.532360539715206
105,2.116289236805683
106,2.299728282137126
107,2.822916957578374
108,2.275840511787945
109,2.37343636287338
110,2.4101846405780756
111,2.388757013283679
112,2.2340904001235207
113,2.375127387394992
114,2.3647431194972777
115,2.2718934783813736
116,2.510101604608906
117,2.660152216836838
118,2.567097609949331
119,2.4893573248731604
120,2.3445212557515136
121,2.3663854467737577
122,2.3540730303031663
123,2.592302033122803
124,2.4251350365234376
125,2.260033172093906
126,2.2559077798513503
127,2.332001294529917
128,2.539214426043658
129,2.9324835290470643
130,3.0281628491188664
131,2.5853413704341768
132,2.2323440177737357
133,2.2816200478776474
134,2.234124016170299
135,2.1840832866116724
136,2.261247391411925
137,2.3110300495632097
138,2.292646915133668
139,2.1516389056167333
140,2.135794989094954
141,2.120655555493722
142,2.2611634622002246
143,2.1972619357607917
144,2.6417816157156246
145,2.867610557174246
146,2.436559055350886
147,2.655202412190251
148,2.9839871938497127
149,2.4880253107739887
150,2.3881876369669057
151,2.4460150833662944
152,2.665469964047981
153,2.324915061957878
154,2.452572122460243
155,2.3803550179745625
156,2.4779789962186287
157,2.3444295279564185
158,2.3920033788306316
159,2.4035078996211476
160,2.369101075096252
161,2.4168181755541656
162,2.4507549524036376
163,2.9954599359132033
164,2.348940176093614
165,2.4923703117646014
166,2.5795289811726234
167,2.573171214331958
168,2.32383086229536
169,2.1997022080447954
170,2.282316820663874
171,2.324401027680398
172,2.2328165661592614
173,2.383646334477888
174,2.47187780869586
175,2.6108772385021877
176,2.4140981529590633
177,2.1284782889443736
178,2.079983217465113
179,2.218758703940069
180,2.210504496199016
181,2.135780923681355
182,2.675314936414531
183,2.6063652726622557
184,2.2366693627823993
185,2.1581473364890713
186,2.068581602497568
187,2.165843905219705
188,2.3107358028145355
189,2.1823335945514186
190,2.294624108009437
191,2.2864886189904707
192,2.212665866302655
193,2.2621869539802186
194,2.4878645088309246
195,2.596102830869237
196,2.4398319142714446
197,2.69773424236329
198,2.2697444953469357
199,2.269233303242727
200,2.314878014302234
201,2.4980191966679093
202,2.218159126799563
203,2.2885410378868642
204,2.359934355259233
205,2.6042541692655896
206,2.952250033140606
207,3.0636807715050765
208,2.9823027601356626
209,2.8345493250424543
210,2.4500081860152525
211,2.4190597414711354
212,2.3340072566870007
213,2.3548205545014653
214,2.3219517526994427
215,2.423351010341616
216,2.3921266713746276
217,2.4989297483292643
218,2.45474850331731
219,2.8369702016820573
220,2.6490375210447343
221,2.421511912047006
222,2.392657544121934
223,2.2604468793358796
224,2.218017134721509
225,2.435524555706675
226,2.4943135439825084
227,2.720606553663434
228,2.6576775697683597
229,2.480417326146333
230,2.3350974521272976
231,2.4359494681856506
232,2.2714643272505786
233,2.229437113485613
234,2.254054125822233
235,2.287229774231399
236,2.3946273311486754
237,2.399877060284543
238,2.4092696427837637
239,2.3478394498767288
240,2.783618133121219
241,2.744869735350694
242,2.6082599564571325
243,3.0086974588457287
244,2.4448087618251395
245,2.6890388341435276
246,2.9267814362889593
247,3.334017127154958
248,4.236551661417384
249,4.037761781313593
250,4.2134463280201455
251,3.7481715513070295
252,2.9750378325805613
253,2.566335923902072
254,2.3629875568089718
255,2.297553033725128
256,2.2395468657134208
257,2.5775627679147375
258,2.322513756357111
259,2.4948066174743384
260,2.5169386188356535
261,2.6614826497399795
262,2.466485348902133
263,2.278036388458247
264,2.330152307370317
265,2.21469863873729
266,2.275128551665867
267,2.6839728164035335
268,2.302086037566609
269,2.423053872926881
270,2.6606089113021003
271,2.300295611748243
272,2.2971047007605256
273,2.3867111580535965
274,2.474225117536999
275,2.541058879369794
276,2.39876213734604
277,2.41255056693888
278,2.551864043695052
279,2.50869887424866
280,3.052602226926227
281,2.6929797706566636
282,2.2232925764558478
283,2.3267659566546697
284,2.2411158323366944
285,2.4889495766522045
286,2.591636532018527
287,2.6574442254544812
288,2.444467221741569
289,2.5330732396106206
290,2.9408569633620534
291,2.923330342353964
292,2.4728384809552497
293,2.3651892156093486
294,2.2084089182268216
295,2.403199975241802
296,2.278576263818936
297,2.1634255032921
298,2.2149762579891936
299,2.0793652956260016
