sinkhorn_div,step
4.18974477333011,1
2.6728350302619015,2
1.1484500682158365,3
0.7746853497728127,4
0.6103476535889911,5
0.6018122893960526,6
0.5091380219050562,7
0.44920436289466614,8
0.41657003441143675,9
0.39506886728960716,10
0.40556668739119245,11
0.4000179300185921,12
0.39594984546426754,13
0.3915913023071933,14
0.3719642433181732,15
0.3877623889086837,16
0.38781576894173436,17
0.3823259152443719,18
0.3986811931712465,19
0.3902267132899155,20
0.3769124599181885,21
0.36211973792684643,22
0.36979922417096367,23
0.3727149261983052,24
0.37551793687916435,25
0.38478631933464086,26
0.381249966530917,27
0.38976326810631395,28
0.4022382628899167,29
0.3881903974328081,30
0.4068505105154273,31
0.3963276030814477,32
0.4096852452243458,33
0.4098441658661044,34
0.4164208285006071,35
0.3968987975269096,36
0.37605768011910934,37
0.3711694674143235,38
0.36368158691392666,39
0.37717920373687547,40
0.3671469172520068,41
0.38425680338875245,42
0.3580954941388802,43
0.3587308447958656,44
0.38245638859733805,45
0.36520001760780096,46
0.38938058694123023,47
0.41943884586115565,48
0.4291725961264352,49
0.4227810355540842,50
0.43403497096966825,51
0.40118148237672,52
0.3810226700805662,53
0.37986955277028867,54
0.3863207381258772,55
0.3875978095513812,56
0.37378289163662215,57
0.37618581290738456,58
0.38481792471335097,59
0.3836681316628812,60
0.37577362786692725,61
0.39012470970999313,62
0.4034019337949616,63
0.38946593774042937,64
0.3867726115315218,65
0.3945586955147067,66
0.38965336079262947,67
0.4130682675414207,68
0.39101840654051,69
0.42321840564228597,70
0.42941176402868314,71
0.4033529913966971,72
0.40749882954252803,73
0.37535284180177125,74
0.3847504961586018,75
0.38024830625919104,76
0.37759605774447585,77
0.3875761008995241,78
0.37083912986264583,79
0.35971150210961833,80
0.36532353540499285,81
0.38950909758499996,82
0.38469966817715145,83
0.39749173386087455,84
0.3806124725925482,85
0.3816031676477309,86
0.3711674262535123,87
0.38852781159131367,88
0.3816680936356748,89
0.37231903158523005,90
0.37548842826742096,91
0.35523592585843333,92
0.38518342557646634,93
0.35936567659976754,94
0.37526903956151847,95
0.37586626612075535,96
0.39229699179238275,97
0.414997196579035,98
0.39575682403764445,99
0.3796118571739831,100
0.38145669838095725,101
0.38457150835321713,102
0.39810443143231317,103
0.3751128001847655,104
0.37829873103204825,105
0.4078541352008404,106
0.3782421426928904,107
0.3589186649560744,108
0.37770272399615007,109
0.37589012770969144,110
0.3832599165652845,111
0.38980842874586974,112
0.36037707855947076,113
0.38845472788562235,114
0.3977650068738948,115
0.38635446887968083,116
0.3972006062792047,117
0.3920391149473902,118
0.38791106278883714,119
0.37550680598460373,120
0.40914946717181716,121
0.3918764133688798,122
0.38284133308999324,123
0.38431825615505977,124
0.36827239851234117,125
0.40692221905209536,126
0.3797712799892016,127
0.38262751913999393,128
0.38275295401616455,129
0.38797117398388387,130
0.40346629274354456,131
0.41454774798139693,132
0.40385092022957936,133
0.3989045975717159,134
0.3997142253037265,135
0.4114787645632948,136
0.4140474411881838,137
0.4274365998937627,138
0.4100506776240592,139
0.38525932598737894,140
0.37795470668686193,141
0.3866941725706175,142
0.392122844925305,143
0.3775897625578257,144
0.3861675929185857,145
0.38631848169656713,146
0.3613790238948159,147
0.3939617433036355,148
0.39623971339978986,149
0.4200865740268823,150
0.41292731587664144,151
0.3910877455257753,152
0.38321452355624847,153
0.3656545683597714,154
0.3820425441641302,155
0.3691019761377102,156
0.3810233599433036,157
0.387248680726743,158
0.37846765504661584,159
0.365406763517492,160
0.3941530396227528,161
0.37814577490371065,162
0.4025601074741365,163
0.3746732623532836,164
0.38501353652812964,165
0.4016320597744902,166
0.39255037298308487,167
0.3911716705038285,168
0.3894646696270906,169
0.37054152237556776,170
0.37227750204854354,171
0.3606188677730144,172
0.38782009212419694,173
0.3810851577083569,174
0.3930082645029635,175
